country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Armenia,2008-02-19T00:00:00Z,1,1,Opposition Activists,opposition (Ter-Petrosyan) activists,3,Opposition Supporters,opposition (Ter-Petrosyan) Supporters,2
Armenia,2003-05-25T00:00:00Z,1,1,Opposition Activists,opposition activist,3,Election Commission,head of the local election comission,1
Azerbaijan,2000-11-05T00:00:00Z,0,0,Opposition Activists,opposition activists,3,Government ,government of president Heydar Aliyev,1
Bangladesh,2001-10-01T00:00:00Z,1,1,Political Activists,activists BNP,3,Political Activists,activists Jatiya party,3
Afghanistan,2009-08-20T00:00:00Z,1,1,Police,Police,1,United States,US-NATO Coalition Forces,5
Serbia,2000-09-24T00:00:00Z,0,0,Civilians,actors' guild,2,Government,government,1
Nepal,2008-04-10T00:00:00Z,1,1,Party Youth,Maoists young communist league members,3,Political Activists,activists of Rastriya Prajatantra Party,3
Albania,1991-03-31T00:00:00Z,0,0,Police,Police,1,Party Supporters,Democracy Party Supporter,2
Albania,1997-07-06T00:00:00Z,0,0,Political Party,Democratic Party,3,Government,Government,1
Kenya,2007-12-27T00:00:00Z,1,1,Civilians,Agitated crowd,NA,Civilians,Car owner,2
Iraq,2005-01-30T00:00:00Z,1,1,Terrorist Group,Abu Musab al-Zarqawi's group,4,Military,Iraqi soldiers,1
Azerbaijan,2010-11-07T00:00:00Z,0,0,Opposition Activists,opposition activists,3,Government,Ilham Aliev's government,1
Bangladesh,2001-10-01T00:00:00Z,6,1,Opposition Activists,opposition activist BNP,3,Political Activists,activists governing party AL,3
Albania,1996-05-26T00:00:00Z,1,1,Police,Police,1,Political Party,Democratic Alliance Representative,3
India,1999-09-05T00:00:00Z,0,0,Party Youth,Asom People's Party youth wing,3,Civilians,actors of violence,NA
Nigeria,2003-04-19T00:00:00Z,1,1,Party Workers,ND campaigners,2,Party Workers,AD campaigners,2
Nigeria,2003-04-12T00:00:00Z,1,1,Political Candidate,PDP candidate,3,Political Candidate,AD candidate,3
Philippines,2010-05-10T00:00:00Z,1,1,Terrorist Group,Abu Sayyaf,4,Military,troops,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,airport workers,2,Government,government,1
Albania,1996-05-26T00:00:00Z,0,0,Police,Police,1,Media,Independent Newspaper,2
Albania,1996-05-26T00:00:00Z,0,0,Police,Police,1,Party Members,Officials,3
Afghanistan,2009-08-20T00:00:00Z,22,1,Iraqi Insurgents,Insurgents,4,Government,Government,1
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Government Leader,Governor,1
Republic of Congo,1993-10-03T00:00:00Z,11,1,Opposition Supporters,Armed opposition supporters,4,Government,Congolese government,1
Nepal,2008-04-10T00:00:00Z,1,1,Political Activists,Activists of Jwala singh-led Janatantrik Terai Mukti Morcha,4,Party Workers,Nepali congress worker,3
Albania,1997-06-29T00:00:00Z,1,1,Military,Army,1,Civilians,Civilian,2
Nepal,2008-04-10T00:00:00Z,2,1,Terrorist Group,Akhil Terai Mukti Morcha,4,Political Candidate,dalit election candidate,3
Egypt,2005-09-07T00:00:00Z,1,1,Terrorist Group,al-Ezz Islamic Brigades,4,Government,Government,1
Afghanistan,2009-08-20T00:00:00Z,1,1,Islamic Insurgents,Islamic Militants,4,Civilians,Afghan aid workers,2
Afghanistan,2009-08-20T00:00:00Z,1,1,Islamic Insurgents,Islamic Militants,4,Military,Afghan guards,1
Egypt,2005-09-07T00:00:00Z,3,1,Al-Qaeda,Al-Qaeda,4,Government,Government,1
Iraq,2010-03-07T00:00:00Z,3,0,Al-Qaeda,Al-Qaeda,4,Government,Government,1
Iraq,2010-03-07T00:00:00Z,0,0,Al-Qaeda,Al-Qaeda,4,Opposition Party,Opposition parties,3
Albania,1996-05-26T00:00:00Z,1,1,Police,Police,1,Opposition Leaders,Opposition Party Leaders,3
Jordan,2003-06-17T00:00:00Z,1,1,Civilians,Ajarmeh tribal group,2,Civilians,Sawalbeh tribal groupings,2
Algeria,2002-05-30T00:00:00Z,0,0,Police,Police,1,Political Activists,Aarch representative,5
Albania,1997-06-29T00:00:00Z,1,1,Military,Presidential Guards,1,Media,Independent Newspaper Editor,2
Algeria,1991-12-26T00:00:00Z,0,0,Military,Security Council/army,1,Political Party,FIS,3
Afghanistan,2005-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Government Officials,judge,1
Iraq,2010-03-07T00:00:00Z,0,0,Al-Qaeda,Al-Qaeda,4,United States,US military,5
Mexico,2006-07-02T00:00:00Z,0,0,Party Supporters,supporters of Lopez Obrador,2,Government,Agriculture Department,1
Kenya,1992-12-29T00:00:00Z,1,1,Party Supporters,FORD-Kenya supporters,2,Government Officials,Agriculture minister,1
Iraq,2005-12-15T00:00:00Z,1,1,Al-Qaeda,al-Qaeda (alleged),4,Civilians,Shiite civilians,2
