country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Indonesia,1999-06-07T00:00:00Z,1,1,Party Supporters,PDI-Struggle supporters,2,Party Supporters,Golkar supporters,2
Colombia,2002-03-10T00:00:00Z,12,1,FARC,FARC guerillas,4,Police,Police,1
Indonesia,1997-05-29T00:00:00Z,8,1,Party Supporters,PPP supporters,2,Party Supporters,Golkar supporters,2
Colombia,2006-03-12T00:00:00Z,12,1,FARC,FARC guerillas,4,Police,Police,1
Indonesia,1997-05-29T00:00:00Z,1,1,Party Supporters,PPP supporters,2,Civilians,Golkar supporting singer Rhoma Irama,2
Indonesia,1997-05-29T00:00:00Z,1,1,Party Supporters,PPP supporters,2,Party Youth,Golkar youth groups,3
Egypt,1995-11-29T00:00:00Z,1,1,Police,Police,1,Muslim Brotherhood,Journalist Salah Abdel-Maqsous. Meber of Moslem Brotherhood,3
Indonesia,1997-05-29T00:00:00Z,0,0,Party Supporters,Megawati (PDI) supporters,2,Government,Govenment,1
Colombia,2006-05-28T00:00:00Z,12,1,FARC,FARC guerillas,4,Police,Police,1
Indonesia,1999-06-07T00:00:00Z,0,0,Party Supporters,Reza's People's Democratic Party supporters,2,Government,Govenmnent,1
Colombia,2010-05-30T00:00:00Z,12,1,FARC,FARC guerillas,4,Police,Police,1
Colombia,1994-03-13T00:00:00Z,0,0,Political Party,Patriotic Union,3,Government,Government,1
Senegal,2012-02-26T00:00:00Z,1,1,Protestors,Demonstrators,2,Government Leader,President Wade,1
Colombia,2010-03-14T00:00:00Z,1,1,FARC,FARC guerillas,4,Political Candidate,Political candidate,3
Iraq,2005-12-15T00:00:00Z,1,1,Unknown,unknown,NA,Party Members,Dawa party member,3
Sri Lanka,2010-04-08T00:00:00Z,0,0,Media,Sri Lankan media groups,2,Government,govermnet,1
Mexico,2009-07-05T00:00:00Z,1,1,Armed Group,Drug cartel La Familia,4,Police,federal police officers,1
Mexico,2009-07-05T00:00:00Z,2,1,Armed Group,drug gang,4,Police,police,1
Ivory Coast,2010-11-28T00:00:00Z,1,1,Unknown,Unknown,NA,Military,Defence and Security Forces,1
Bangladesh,2001-10-01T00:00:00Z,1,1,Party Supporters,BNP supporters,2,Government,governing party AL,1
Belarus,2001-09-09T00:00:00Z,1,1,Opposition Party,opposition,3,Government,government,1
Bangladesh,2001-10-01T00:00:00Z,1,1,Opposition Activists,opposition activists,3,Civilians,Civilians,2
Bangladesh,2001-10-01T00:00:00Z,2,1,Opposition Activists,opposition activists,3,Civilians,civilians,2
Bangladesh,1996-02-15T00:00:00Z,0,0,Opposition Activists,opposition activists,3,Property,convoy of army vehicles,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,Opposition activists,3,Civilians,Firemen,1
Bangladesh,2001-10-01T00:00:00Z,15,1,Opposition Activists,opposition activists,3,Government,governing party AL,1
Bulgaria,1997-04-19T00:00:00Z,1,0,Opposition Party,opposition,3,Government,government,1
Cameroon,2004-10-11T00:00:00Z,5,1,Opposition Party,Opposition,3,Government,Government,1
Tanzania,1995-10-29T00:00:00Z,1,1,Opposition Supporters,Opposition supporter,2,Party Supporters,Government supporter,2
Colombia,1994-03-13T00:00:00Z,1,1,FARC,FARC guerillas,4,Government,Politicians,1
Iraq,2005-12-15T00:00:00Z,1,1,Unknown,unknown,NA,Government Officials,defence ministry convoy,1
Colombia,2006-03-12T00:00:00Z,3,1,FARC,FARC guerillas,4,Government Leader,President,1
Bangladesh,1996-02-15T00:00:00Z,0,0,Party Workers,BNP workers,1,Government,Governing party BNP,1
Colombia,2006-05-28T00:00:00Z,3,1,FARC,FARC guerillas,4,Government Leader,President,1
Colombia,2002-05-26T00:00:00Z,1,1,FARC,FARC guerillas,4,Political Candidate,Presidential candidate,3
Colombia,2002-03-10T00:00:00Z,1,1,FARC,FARC guerillas,4,Political Candidate,"Presidential candidate, former senator",3
Bangladesh,1996-02-15T00:00:00Z,0,0,Government Workers,civil servants,1,Government,Governing party BNP,1
Colombia,2002-05-26T00:00:00Z,1,1,FARC,FARC guerillas,4,Military,Security forces,1
Colombia,2006-03-12T00:00:00Z,1,1,FARC,FARC guerillas,4,Government Officials,Senator,1
Azerbaijan,2005-11-06T00:00:00Z,2,1,Protestors,demonstrators,2,Government,Ilham Aliev's government,1
Colombia,1998-03-08T00:00:00Z,1,1,FARC,FARC guerillas,4,Unknown,Unknown,NA
Algeria,1997-06-05T00:00:00Z,3,1,Military,Security forces,1,Islamic Insurgents,Muslim militants,4
Croatia,2007-11-25T00:00:00Z,0,0,Political Party,non-parliamentary parties,3,Media,state media,1
Democratic Republic of the Congo,2006-07-30T00:00:00Z,1,0,Political Party,FONUS party,3,Government ,DRC government,1
Djibouti,1992-12-18T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Djibouti,1993-05-07T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Bangladesh,2001-10-01T00:00:00Z,15,0,Opposition Activists,opposition activists,3,Government,governing party AL,1
Bangladesh,2001-10-01T00:00:00Z,0,0,Opposition Activists,opposition activists,3,Government,Governing party AL,1
Bangladesh,1996-02-15T00:00:00Z,18,0,Opposition Activists,opposition activists,3,Government,Governing party BNP,1
Bangladesh,1996-02-15T00:00:00Z,18,1,Opposition Activists,opposition activists,3,Government,Governing party BNP,1
Bangladesh,1996-02-15T00:00:00Z,15,1,Opposition Activists,Opposition activists,3,Government,Governing party BNP,1
Bangladesh,1996-02-15T00:00:00Z,15,0,Opposition Activists,Opposition activists,3,Government,Governing party BNP,1
Bangladesh,1996-02-15T00:00:00Z,0,0,Opposition Leaders,Opposition leader Hasina Wajed,3,Government,Governing party BNP,1
Djibouti,2003-01-10T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Zimbabwe,2000-06-24T00:00:00Z,1,1,Opposition Supporters,Opposition supporter,2,Government,Ruling party member,3
Angola,1992-09-09T00:00:00Z,48,1,Opposition Supporters,Opposition supporters,2,Government,Government,1
Bangladesh,1996-02-15T00:00:00Z,0,0,Opposition Leaders,Opposition leader Hasina Wajed,3,Political Party,Governing party BNP,3
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,opposition activists,3,Building,Governing party BNP - office,1
Bangladesh,1996-02-15T00:00:00Z,2,1,Party Supporters,supporters Awami League,2,Government,Governing party BNP,2
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,Opposition activists,3,Political Activists,Governing party BNP activists,3
Bangladesh,1996-02-15T00:00:00Z,2,1,Opposition Activists,opposition activists,3,Political Activists,Governing party BNP activists,3
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,opposition activists,3,Government Leader,Governing party BNP leader Zia,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,Opposition activists,3,Government Leader,Governing party BNP local leader,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,opposition activists,3,Building,Governing party BNP office,1
Angola,1992-09-09T00:00:00Z,15,1,Opposition Supporters,Opposition supporters,2,Party Supporters,Government supporters,2
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,Opposition activists,3,Party Supporters,Governing party BNP supporters,2
Bangladesh,1996-02-15T00:00:00Z,1,1,Opposition Activists,opposition activists,3,Party Supporters,Governing party BNP supporters,2
Bangladesh,1996-02-15T00:00:00Z,9,1,Opposition Activists,Opposition activists,3,Government,Government,1
Djibouti,2005-04-08T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Armenia,1996-09-22T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Mexico,2009-07-05T00:00:00Z,1,1,Armed Group,drug gangs,4,Police,state police officer and bodyguard,1
Azerbaijan,2005-11-06T00:00:00Z,2,0,Protestors,demonstrators,2,Government,Ilham Aliev's government,1
Honduras,2009-11-29T00:00:00Z,0,0,Party Supporters,Zelaya supporters,2,Government,governmen,1
Kyrgyzstan,2010-10-10T00:00:00Z,0,0,Protestors,demonstrators,2,Government,interim government,1
Russia,2012-03-04T00:00:00Z,0,0,Political Candidate,A Just Party candidate,3,Government,government,1
Russia,2011-12-04T00:00:00Z,0,0,Political Activists,A Just Russia activists,3,Government,government,1
Kuwait,2008-05-17T00:00:00Z,1,1,Protestors,demonstrators,2,Government,Kuwaiti government,1
Sri Lanka,2010-04-08T00:00:00Z,2,0,Political Activists,Activist of Fonseka-led Democratic National Alliance,3,Government,government,1
Sri Lanka,2010-04-08T00:00:00Z,2,1,Political Activists,Activist of Fonseka-led Democratic National Alliance,3,Government,government,1
Egypt,2010-11-28T00:00:00Z,1,0,Political Activists,Activists,3,Government,Government,1
Egypt,2010-11-28T00:00:00Z,1,1,Political Activists,Activists,3,Government,Government,1
Iran,2000-02-18T00:00:00Z,0,0,Political Activists,activists,3,Government,government,1
Egypt,2005-09-07T00:00:00Z,1,0,Political Activists,Activists,2,Government,Government,1
Egypt,2010-06-01T00:00:00Z,1,0,Political Activists,Activists,2,Government,Government,1
Egypt,2010-11-28T00:00:00Z,7,1,Police,Police,1,Media,Journalists,2
Afghanistan,2004-09-10T00:00:00Z,0,0,Party Supporters,Afghanistan's National Congress party supporters,2,Government,Government,1
Iran,2004-02-20T00:00:00Z,1,1,Protestors,demonstrators,2,Government,local government,1
Egypt,2005-12-01T00:00:00Z,0,0,Party Supporters,al Ghad party supporters,2,Government,Government,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Party Supporters,AL supporters,2,Government,Government,1
Myanmar,2010-11-07T00:00:00Z,1,1,Armed Group,armed ethnic group,4,Civilians,Citizens,2
Myanmar,2010-11-07T00:00:00Z,1,1,Armed Group,insurgency groups,4,Government,Junta Government,1
Egypt,2005-09-07T00:00:00Z,1,1,Party Members,Al-Ghad party members,3,Government,Government,1
Nepal,2008-04-10T00:00:00Z,1,1,Armed Group,Armed group,4,Media,journalists,2
Nepal,2008-04-10T00:00:00Z,0,0,Armed Group,armed groups,4,Government,government,1
Nepal,1999-05-03T00:00:00Z,1,1,Armed Group,Maoist insurgents,4,Election Officials,election officials,1
Nepal,1999-05-03T00:00:00Z,2,1,Armed Group,Maoist insurgents,4,Police,police,1
Iran,2004-02-20T00:00:00Z,1,1,Protestors,demonstrators,2,Government,prefecture,1
Democratic Republic of the Congo,2006-07-30T00:00:00Z,1,1,Political Party,FONUS party,3,Government ,DRC government,1
Dominican Republic,1994-05-16T00:00:00Z,1,0,Political Party,People's Unity Council,3,Government,Government,1
Iraq,2005-12-15T00:00:00Z,0,0,Party Supporters,Allawi supporters,2,Government,government,1
Djibouti,2008-02-08T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Belarus,2006-03-19T00:00:00Z,0,0,Party Members,Anatol Kulik,2,Government,government,1
Ethiopia,1995-05-07T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
Dominican Republic,1994-05-16T00:00:00Z,1,1,Political Party,People's Unity Council,3,Government,Government,1
Mexico,2000-07-02T00:00:00Z,1,1,Rebel Group,FARP,4,Police,police,1
South Africa,1994-04-26T00:00:00Z,0,0,Party Supporters,ANC supporters,2,Government,Government,1
Turkey,1995-12-24T00:00:00Z,0,0,Students,Female Students,2,Government,Government,1
Togo,2005-04-24T00:00:00Z,1,1,Protestors,Demonstrators,2,Police,Togolese police,1
Ukraine,2010-02-07T00:00:00Z,0,0,Protestors,demonstrators,2,Government Officials,education minister,1
Togo,2005-04-24T00:00:00Z,4,1,Protestors,Demonstrators,2,Government,Togolese government,1
Ukraine,2004-10-31T00:00:00Z,0,0,Protestors,demonstrators,2,Government,Ukrainian government,1
Ukraine,2004-11-21T00:00:00Z,0,0,Protestors,demonstrators,2,Government,Ukrainian government,1
Togo,2010-03-04T00:00:00Z,0,0,Protestors,Demonstrators from the Union for the Forces of Change,3,Government,Togolese government,1
Bangladesh,2001-10-01T00:00:00Z,0,0,Protestors,demonstrators reshuffle government,2,Government,Caretaker government,1
Turkey,2011-06-12T00:00:00Z,0,0,Civilians,Demontrators,2,Government,Government,1
Togo,2010-03-04T00:00:00Z,0,0,Civilians,Demontrators,2,Government,Togolese government,1
Iraq,2010-03-07T00:00:00Z,1,1,Civilians,Detainee,2,Government Workers,Investigative officer,1
Nepal,1999-05-03T00:00:00Z,2,1,Armed Group,Maoist insurgents,4,Civilians,voters,2
Nepal,1999-05-03T00:00:00Z,2,1,Armed Group,Maoists insurgents,4,Government,government,1
Egypt,2012-05-23T00:00:00Z,0,0,Civilians,Detainees,3,Military,Military council,1
Sudan,2010-04-11T00:00:00Z,1,1,Civilians,Dinka Bor youths,2,Civilians,Mundari youths,2
Sudan,2010-04-11T00:00:00Z,2,1,Civilians,Dinka tribe,2,Civilians,Mandari tribe,2
Malaysia,1999-11-29T00:00:00Z,0,0,Party Supporters,Anwar Ibrahim supporters,2,Government,Government,1
Malaysia,2004-03-21T00:00:00Z,0,0,Party Supporters,Anwar Ibrahim supporters,2,Government,government,1
Malaysia,1999-11-29T00:00:00Z,1,0,Party Supporters,Anwar supporters,2,Government,Government,1
Malaysia,1999-11-29T00:00:00Z,1,1,Party Supporters,Anwar supporters,2,Government,Government,1
Malaysia,2008-03-08T00:00:00Z,1,0,Party Supporters,Anwar supporters,2,Government,Government,1
Malaysia,2004-03-21T00:00:00Z,1,1,Party Supporters,Anwar's National Justice Party supporters,2,Government,government,1
Guyana,2011-11-28T00:00:00Z,1,1,Party Members,AP-NU members,3,Government,government,1
Guyana,2011-11-28T00:00:00Z,1,0,Party Supporters,AP-NU supporters,2,Government,government,1
Guyana,2011-11-28T00:00:00Z,1,1,Party Supporters,AP-NU supporters,2,Government,government,1
Niger,1993-02-14T00:00:00Z,1,1,Rebel Group,FLAA,4,Political Party,MNSD,3
Egypt,2005-09-07T00:00:00Z,0,0,Political Party,Ghad party,3,Government,Government,1
Iraq,2005-01-30T00:00:00Z,0,0,Political Candidate,Arab Canidates,3,Government,Government,1
El Salvador,1991-03-10T00:00:00Z,1,1,Rebel Group,FMLN,4,Civilians,civilians,2
Nepal,2008-04-10T00:00:00Z,1,1,Unknown,unidentified armed groups,NA,Police,police,1
Egypt,2007-06-11T00:00:00Z,1,1,Police,Police,1,Party Supporters,Kefaya supporters,2
Nigeria,2007-04-21T00:00:00Z,1,1,Armed Group,Thugs,NA,Civilians,DPA,2
Nigeria,2003-04-19T00:00:00Z,0,0,Armed Group,Thugs,NA,Media,Journalist,2
Nigeria,2007-04-21T00:00:00Z,1,1,Armed Group,Thugs,NA,Opposition Candidate,Opposition candidate,3
Thailand,2005-02-06T00:00:00Z,1,1,Unknown,unknown,NA,Civilians,defence volunteer,2
El Salvador,1991-03-10T00:00:00Z,1,0,Rebel Group,FMLN,4,Government,government,1
Lebanon,2005-05-28T00:00:00Z,1,1,Unknown,unknown,NA,Government Officials,defense minister,1
Albania,1997-06-29T00:00:00Z,1,1,Unknown,Unknown,NA,Party Supporters,Democracy Party Supporters,3
India,1999-09-05T00:00:00Z,1,1,Military,security forces,1,Islamic Insurgents,Moslem rebels,4
Kyrgyzstan,2007-12-16T00:00:00Z,0,0,Party Members,Ata Meken party members,3,Government,government,1
Kyrgyzstan,2007-12-16T00:00:00Z,0,0,Party Supporters,Ata Meken party supporters,2,Government,government,1
Kyrgyzstan,2005-03-13T00:00:00Z,1,1,Civilians,disqualified politician supporters,2,Government Officials,judge,1
Thailand,2007-12-23T00:00:00Z,1,1,Unknown,unknown,NA,Party Workers,Democrat Party campaigner,3
Thailand,2005-02-06T00:00:00Z,1,1,Unknown,unknown,NA,Political Candidate,Democrat party candidate,3
Pakistan,2008-02-18T00:00:00Z,1,1,Party Supporters,Awami National Party supporters,2,Government,Government,1
South Africa,1994-04-26T00:00:00Z,0,0,Party Members,AWB and IFP members,3,Government,Government,1
South Africa,1994-04-26T00:00:00Z,2,1,Party Supporters,AWB supporters,2,Government,Government,1
El Salvador,1991-03-10T00:00:00Z,1,1,Rebel Group,FMLN,4,Government,government,1
Bangladesh,2001-10-01T00:00:00Z,0,0,Political Activists,Bangabandhu Sangskritik Jote activists,3,Government,Government,1
Egypt,2005-09-07T00:00:00Z,0,0,Political Party,NPUG,3,Government,Government,1
Botswana,2009-10-16T00:00:00Z,0,0,Party Youth,BCP Youth League Members,3,Government,Government,1
Macedonia,2006-07-05T00:00:00Z,0,0,Party Members,BDI and PPD members,3,Government,Government,1
Macedonia,2006-07-05T00:00:00Z,0,0,Party Members,BDI official,3,Government,Government,1
Macedonia,2006-07-05T00:00:00Z,0,0,Party Supporters,BDI supporters,2,Government,Government,1
Macedonia,2008-06-01T00:00:00Z,0,0,Party Supporters,BDI supporters,2,Government,Government,1
Ethiopia,2000-05-14T00:00:00Z,5,0,Opposition Party,Opposition,3,Government,Government,1
El Salvador,1991-03-10T00:00:00Z,1,1,Rebel Group,FMLN,4,Police,police,1
Cuba,2003-01-19T00:00:00Z,0,0,Civilians,dissident Mayelin Cedeno,2,Government,Castro government,1
Bangladesh,2001-10-01T00:00:00Z,0,0,Civilians,doctors,2,Government,Caretaker government,1
Algeria,2004-04-08T00:00:00Z,0,0,Party Leaders,Berber leaders,3,Government,Government,1
India,1996-04-27T00:00:00Z,0,0,Political Activists,Bharatiya Janata Party activists,3,Government,Government,1
India,1996-04-27T00:00:00Z,0,0,Party Members,Bharatiya Janata Party members,3,Government,Government,1
India,1991-05-20T00:00:00Z,1,1,Party Supporters,Bharatiya Janata Party supporters,2,Government,Government,1
Vietnam,2007-05-20T00:00:00Z,0,0,Political Activists,Bloc 8406 pro-democracy activists,2,Government,government,1
Botswana,1994-10-15T00:00:00Z,0,0,Party Members,BNF Councillors,3,Government,Government,1
El Salvador,1991-03-10T00:00:00Z,1,1,Rebel Group,FMLN,4,Civilians,voters,2
Indonesia,1999-06-07T00:00:00Z,2,1,Rebel Group,Free Aceh Movement,4,Civilians,citizens,2
Egypt,2010-11-28T00:00:00Z,0,0,Political Party,Wafd party,3,Government,Government,1
El Salvador,1994-03-20T00:00:00Z,1,1,Political Party,ARENA,3,Opposition Party,opposition parties,3
Egypt,1995-11-29T00:00:00Z,0,0,Muslim Brotherhood,Brotherhood candidate Muss Ghanum,3,Government,Government,1
Egypt,1995-12-06T00:00:00Z,0,0,Muslim Brotherhood,Brotherhood candidates,3,Government,Government,1
Equatorial Guinea,1993-11-21T00:00:00Z,0,0,Political Party,Bubis,3,Government,Government,1
Indonesia,1999-06-07T00:00:00Z,6,1,Rebel Group,Free Aceh Movement,4,Election Officials,election officials,1
Indonesia,2004-04-05T00:00:00Z,6,1,Rebel Group,Free Aceh Movement,4,Election Officials,election officials,1
Indonesia,1999-06-07T00:00:00Z,2,1,Rebel Group,Free Aceh Movement,4,Civilians,people,2
Nigeria,2003-04-19T00:00:00Z,0,0,Party Supporters,Buhari supporters,2,Government,Government,1
Indonesia,1999-06-07T00:00:00Z,3,1,Rebel Group,Free Aceh Movement,4,Police,Police,1
Indonesia,1999-06-07T00:00:00Z,1,1,Rebel Group,Free Aceh Movement,4,Police,police,1
Kyrgyzstan,2010-10-10T00:00:00Z,0,0,Party Supporters,Butun Kyrgyzstan supporters,2,Government,government,1
Belarus,2001-09-09T00:00:00Z,0,0,Political Candidate,candidate for Belarusian National Assembly's House of Representatives lower house of parliament,3,Government,government,1
Jordan,2003-06-17T00:00:00Z,1,1,Party Supporters,candidate supporters,2,Government,government,1
Zimbabwe,2005-03-31T00:00:00Z,0,0,Party Supporters,Candidate Supporters,2,Government,Government,1
Georgia,2012-10-01T00:00:00Z,0,0,Political Party,Georgian Dream Party,3,Government,Saakashvili's Government,1
Georgia,1995-11-05T00:00:00Z,0,0,Political Party,United Communist Party,3,Building,Owners of the party's headquarters,5
Tanzania,2010-10-31T00:00:00Z,0,0,Party Members,CHADEMA MPs,3,Government,Government,1
Tanzania,2010-10-31T00:00:00Z,1,1,Party Supporters,CHADEMA supporters,2,Government,Government,1
Belarus,2001-09-09T00:00:00Z,0,0,Party Leaders,chairman of Vitsebsk Regional branch of the Belarusian Social-Democratic Party,3,Government,government,1
Armenia,1996-09-22T00:00:00Z,11,1,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,1999-05-30T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,2003-02-19T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,2003-02-19T00:00:00Z,11,1,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,2003-03-05T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,2003-03-05T00:00:00Z,11,1,Opposition Supporters,opposition supporters,2,Government,government,1
Armenia,2007-05-12T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Nigeria,2007-04-21T00:00:00Z,1,1,Armed Group,Thugs,NA,Police,Police,1
Ethiopia,2000-05-14T00:00:00Z,5,1,Opposition Party,Opposition,3,Government,Government,1
Indonesia,1997-05-29T00:00:00Z,1,1,Rebel Group,Free Aceh Movement,4,Military,soldiers,1
Indonesia,1999-06-07T00:00:00Z,2,1,Rebel Group,Free Aceh Movement,4,Military,Soldiers,1
Indonesia,1997-05-29T00:00:00Z,1,1,Rebel Group,FRETILIN,4,Government,Government,1
Indonesia,1997-05-29T00:00:00Z,1,1,Rebel Group,FRETILIN,4,Civilians,people,2
Indonesia,1997-05-29T00:00:00Z,2,1,Rebel Group,FRETILIN,4,Police,Police,1
Indonesia,1997-05-29T00:00:00Z,1,1,Rebel Group,FRETILIN,4,Military,soldiers,1
Djibouti,1999-04-09T00:00:00Z,1,1,Rebel Group,FRUD,4,Government,Government,1
Djibouti,1999-04-09T00:00:00Z,1,1,Rebel Group,FRUD,4,Government Officials,Government official,1
Chad,2006-05-03T00:00:00Z,1,1,Rebel Group,FUC rebels,4,Government,Chadian government,1
Bangladesh,1991-02-27T00:00:00Z,0,0,Civilians,Doctors,2,Government,Government,1
Bosnia and Herzegovina,2000-11-11T00:00:00Z,0,0,Civilians,doctors,2,Government,government,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,doctors,2,Government,government,1
El Salvador,2004-03-21T00:00:00Z,0,0,Civilians,doctors,2,Government,government,1
Nigeria,1993-06-12T00:00:00Z,0,0,Civilians,Doctors,2,Government,Government,1
Sri Lanka,1999-12-21T00:00:00Z,0,0,Civilians,doctors,2,Government,government,1
Sri Lanka,2004-04-02T00:00:00Z,0,0,Civilians,doctors,2,Government,government,1
Sudan,2000-12-13T00:00:00Z,0,0,Civilians,Doctors,2,Government,Government,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,doctors and nurses,2,Government,government,1
Philippines,2001-05-14T00:00:00Z,0,0,Civilians,drivers,2,Government,Estrada,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,drivers,2,Government,government,1
Kyrgyzstan,2009-07-23T00:00:00Z,1,1,Civilians,drunk driver,NA,Party Members,Ata-Meken party members,3
Lithuania,1992-10-25T00:00:00Z,0,0,Civilians,elderly ladies,2,Government,Parliament,1
Serbia,2000-09-24T00:00:00Z,0,0,Civilians,employees,2,Civilians,financial associate,2
Egypt,2010-11-28T00:00:00Z,0,0,Civilians,Employees in public sector,2,Government,Government,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,engineers,2,Government,government,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Students,government student supporters,2,Civilians,Dhaka university teachers,2
Russia,2012-03-04T00:00:00Z,0,0,Civilians,Essence of Time movement,2,Opposition Party,opposition,3
South Korea,2000-04-13T00:00:00Z,0,0,Political Activists,civic groups activists,2,Government,government,1
Tanzania,2005-12-14T00:00:00Z,1,1,Rebel Group,Green Guards,4,Opposition Supporters,Opposition supporter,2
Georgia,2012-10-01T00:00:00Z,0,0,Political Party,United National Movement Party Sonderkommandos,4,Political Party,Georgian Dream Party,3
Macedonia,2002-09-15T00:00:00Z,1,1,Civilians,Ethnic Albanians,2,Civilians,Ethnic Macedonians,2
Guyana,1997-12-15T00:00:00Z,0,0,Civilians,ethnic blacks,2,Civilians,East Indians,2
South Africa,1994-04-26T00:00:00Z,0,0,Government Workers,Civil servants,1,Government,Government,1
Kenya,2007-12-27T00:00:00Z,0,0,Political Activists,Civil society 'activists',2,Government,Government,1
Sudan,2010-04-11T00:00:00Z,2,1,Civilians,Ethnic group,2,Civilians,Ethnic group,2
Afghanistan,2005-09-18T00:00:00Z,0,0,Civilians,Ethnic Hazaras,2,Government,government,1
Afghanistan,2005-09-18T00:00:00Z,0,0,Civilians,Ethnic Hazaras,2,Government Leader,provincial governor,1
Latvia,1993-06-05T00:00:00Z,0,0,Civilians,Ethnic Russians,2,Government,Government,1
Kyrgyzstan,2010-10-10T00:00:00Z,1,1,Civilians,ethnic Uzbeks,2,Civilians,Kyrgyz men,2
Nepal,2008-04-10T00:00:00Z,0,0,Civilians,ethnic-based pressure groups,2,Government,government,1
Albania,1996-05-26T00:00:00Z,0,0,Civilians,European Socialists Delegation,5,Government,Government,1
Togo,2003-06-01T00:00:00Z,1,1,Civilians,Eyadema supporters,2,Media,Foreign journalists,5
Togo,2003-06-01T00:00:00Z,1,1,Civilians,Eyadema supporters,2,Party Supporters,UFC supporters,2
Ukraine,2004-11-21T00:00:00Z,0,0,Civilians,factories,5,Government,Ukrainian government,1
Bulgaria,1997-04-19T00:00:00Z,0,0,Civilians,factory workers,2,Government,government,1
Bangladesh,1996-02-15T00:00:00Z,1,1,Civilians,Factory workers,2,Police,police,1
Bosnia and Herzegovina,2006-10-01T00:00:00Z,0,0,Civilians,families of naturalized citizens,2,Government,government,1
Egypt,2005-11-09T00:00:00Z,0,0,Civilians,Families of political detainees,2,Government,Government,1
Egypt,1995-11-29T00:00:00Z,0,0,Civilians,Family members Moslem Brotehrhood,2,Government,Government,1
Nepal,2008-04-10T00:00:00Z,0,0,Civilians,family of businessman,2,Political Party,Maoists cadres,3
Egypt,1995-11-29T00:00:00Z,1,1,Civilians,Family of candidates,2,Civilians,Familiy of candidates,2
Mexico,1997-07-06T00:00:00Z,1,1,Civilians,Farm owner Pacifico Rojas Lopez and his employees,2,Militant Group,militant Independent Center of Agricultural Workers and Campesinos (CIOAC),4
India,1996-04-27T00:00:00Z,1,1,Civilians,farmers,2,Rebel Group,Maoist activists,4
Moldova,2001-02-25T00:00:00Z,0,0,Civilians,Farmers,2,Government,Government,1
Nicaragua,2001-11-04T00:00:00Z,0,0,Civilians,Farmers,2,Government,Government,1
Taiwan,2008-01-12T00:00:00Z,0,0,Civilians,farmers,2,Government,government,1
Peru,2001-04-08T00:00:00Z,0,0,Civilians,Farmers,2,Government Leader,President Fujimori,1
Mexico,1994-08-21T00:00:00Z,0,0,Civilians,farmers from Veracruz,2,Government,government,1
Togo,2005-04-24T00:00:00Z,3,1,Political Activists,Coalition of the Democratic Opposition activists,3,Government,Government,1
Armenia,2008-02-19T00:00:00Z,11,0,Opposition Supporters,opposition supporters,2,Government,government,1
Hungary,2002-04-21T00:00:00Z,0,0,Protestors,Federation of National Organizations protesters,2,Government,Hungarian Socialist Party,1
Ghana,2004-12-07T00:00:00Z,1,1,Political Party,Unidentified party operatives,3,Election Workers,Opposition poll agents (NDC),3
Russia,2012-03-04T00:00:00Z,0,0,Political Activists,Communist party activists,3,Government,government,1
Guinea,2002-06-30T00:00:00Z,0,0,Political Party,RPG,3,Government,government,1
Nepal,1994-11-15T00:00:00Z,0,0,Party Members,Communist party of Nepal members,3,Government,government,1
Egypt,2011-11-28T00:00:00Z,0,0,Protestors,Female protestors,2,Military,Security forces,1
Zimbabwe,2000-06-24T00:00:00Z,0,0,Party Members,Congress of Trade Unions members,2,Government,Government,1
Guinea,2003-12-21T00:00:00Z,0,0,Political Party,Union for Progress and Renewal (UPC),3,Government,government,1
