country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Kenya,1992,0,Civilians,2,3,5.807993083677995,17.020519601890996,NA,0,1,1,-1.219,0.743,0.629,0.118,-1.614,0.346,-5,2,NA,0,3,NA
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,0,3,NA
Kenya,1997,0,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,0,10,49
Indonesia,1997,1,Civilians,2,29,6.9606772367389365,19.1367042887217,NA,0,1,1,-1.661,-0.72,0.102,0.177,-2.701,0.041,-7,0,NA,NA,NA,NA
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,1,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,NA,NA,NA
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,0,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,1,1,NA
Kenya,2007,0,Civilians,2,123,6.733629999012196,17.454064486093824,5,0,0,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,10,49
Kenya,2007,0,Civilians,2,123,6.733629999012196,17.454064486093824,5,1,1,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,123,153
Georgia,2004,0,Civilians,2,NA,7.173994706506344,15.183472909898887,NA,0,NA,1,-0.333,-0.586,0.755,0.569,0.549,1.259,6,4,NA,0,NA,NA
Georgia,2004,0,Civilians,2,NA,7.173994706506344,15.183472909898887,NA,0,NA,1,-0.333,-0.586,0.755,0.569,0.549,1.259,6,4,NA,0,NA,NA
Bolivia,2008,1,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,NA,NA,NA
Azerbaijan,1992,1,Civilians,2,774,4.1019524417701705,15.81456193578133,NA,0,NA,0,-1.411,-1.708,0.218,0.418,-0.575,-0.374,1,4,NA,0,NA,NA
Taiwan,2008,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.597,0.6,0.948,0.86,0.749,2.493,10,8,NA,0,NA,NA
Taiwan,2008,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.597,0.6,0.948,0.86,0.749,2.493,10,8,NA,0,NA,NA
Turkey,2007,1,Civilians,2,7,9.176641777112728,18.070681595791697,7,0,NA,1,0.822,0.874,0.632,0.86,0.027,0.506,7,3,NA,1,NA,NA
India,2004,1,Civilians,2,777,6.436318774656077,20.851012037697036,NA,0,NA,0,1.442,0.47,0.816,0.855,0.832,0.746,9,0,NA,1,383,NA
Bangladesh,2001,0,Civilians,2,14,6.016275545139406,18.695813026182076,NA,0,0,1,0.461,-0.507,0.772,0.531,-1.406,1.646,6,4,NA,1,33,NA
Bangladesh,2001,0,Civilians,2,14,6.016275545139406,18.695813026182076,NA,0,0,1,0.461,-0.507,0.772,0.531,-1.406,1.646,6,4,NA,1,70,NA
Honduras,2009,0,Civilians,2,NA,7.474402948210809,15.929027627851664,5,0,1,1,-1.101,-1.182,0.778,0.431,-0.909,1.049,7,2,NA,1,NA,NA
Honduras,2009,0,Civilians,2,NA,7.474402948210809,15.929027627851664,5,0,1,1,-1.101,-1.182,0.778,0.431,-0.909,1.049,7,2,NA,0,NA,NA
Egypt,2010,1,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,0,40,NA
Egypt,2010,1,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,1,NA,50
Israel,1992,1,Civilians,2,11,NA,15.44925076292134,NA,0,NA,0,1.489,0.879,0.883,0.914,1.826,2.217,6,3,NA,NA,NA,NA
Israel,2001,0,Civilians,2,103,9.947955549662169,15.67788380652032,NA,0,0,0,1.478,0.687,0.875,0.914,1.826,1.45,6,2,NA,1,11,NA
Israel,2009,0,Civilians,2,14,10.251219052381698,15.82849173294384,NA,0,NA,0,1.324,0.669,0.829,0.912,1.826,1.699,6,2,NA,0,103,NA
Nigeria,1999,0,Civilians,2,2505,6.20663678568659,18.60046211888106,NA,0,0,1,-0.326,-0.107,0.842,0.269,-1.603,0.527,4,2,49,0,95,84
Nigeria,1999,0,Civilians,2,2505,6.20663678568659,18.60046211888106,NA,0,1,1,-0.326,-0.107,0.842,0.269,-1.603,0.527,4,2,49,0,2505,49
