country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Haiti,2000,1,Civilians,2,NA,6.703187259530578,15.93899589857431,NA,0,1,1,-0.53,-2.449,0.537,0.326,-1.173,1.099,-2,5,NA,1,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,1,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Philippines,2001,0,Civilians,2,44,NA,NA,NA,1,1,0,-0.139,1.394,0.851,0.518,-1.038,2.078,8,2,NA,0,44,NA
Albania,1992,1,Civilians,2,NA,5.302569412635298,14.993254062100007,NA,1,NA,1,-0.494,-0.085,0.37,0.361,-0.635,0.649,5,6,NA,1,NA,NA
Albania,1992,1,Civilians,2,NA,5.302569412635298,14.993254062100007,NA,1,NA,1,-0.494,-0.085,0.37,0.361,-0.635,0.649,5,6,NA,1,NA,NA
Timor-Leste,2007,1,Civilians,2,NA,6.277555597630286,13.834687499363772,NA,NA,NA,NA,0.587,0.228,0.696,0.647,0.844,1.37,7,NA,NA,1,NA,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,70,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Afghanistan,2004,0,Civilians,2,39,5.401133867766795,16.974787152622334,NA,0,NA,1,-0.258,-0.556,0.687,0.062,-2.095,0.786,NA,NA,NA,1,108,NA
Afghanistan,2004,1,Civilians,2,39,5.401133867766795,16.974787152622334,NA,0,NA,1,-0.258,-0.556,0.687,0.062,-2.095,0.786,NA,NA,NA,0,39,NA
Afghanistan,2010,0,Civilians,2,164,6.31823847865875,17.154466227690925,NA,1,1,1,-0.399,-0.702,0.673,0.193,-1.922,0.985,NA,3,NA,1,39,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Bangladesh,1991,1,Civilians,2,70,5.646796817475771,18.509083797111334,NA,0,0,1,0.461,-0.228,0.666,0.491,-0.964,1.765,6,4,NA,0,33,NA
Bangladesh,1991,0,Civilians,2,70,5.646796817475771,18.509083797111334,NA,0,0,1,0.461,-0.228,0.666,0.491,-0.964,1.765,6,4,NA,1,70,NA
Bolivia,2005,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.133,0.903,0.852,0.85,-1.341,1.25,8,6,NA,1,NA,NA
Bolivia,2005,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.133,0.903,0.852,0.85,-1.341,1.25,8,6,NA,0,NA,NA
Bolivia,2008,0,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,0,NA,NA
Bulgaria,1990,0,Civilians,2,NA,7.76917995069777,15.980933561036034,NA,0,NA,1,0.499,1.14,0.78,0.476,1.105,1.254,7,3,NA,0,NA,NA
Bulgaria,1990,0,Civilians,2,NA,7.76917995069777,15.980933561036034,NA,0,NA,1,0.499,1.14,0.78,0.476,1.105,1.254,7,3,NA,0,NA,NA
Dominican Republic,2004,1,Civilians,2,NA,NA,NA,NA,0,0,1,1.036,0.982,0.872,0.671,-0.928,1.457,8,4,NA,1,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Haiti,2006,0,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,1,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Indonesia,1999,0,Civilians,2,902,6.497563864264808,19.167354046783345,NA,0,0,1,0.815,1.249,0.634,0.539,-0.804,1.416,6,0,NA,1,29,NA
Iraq,2005,0,Civilians,2,886,7.462024416198779,17.17236182602,2,0,1,1,0.274,-1.744,0.548,0.106,-0.363,-0.176,NA,1,NA,1,886,NA
Iraq,2005,0,Civilians,2,886,7.462024416198779,17.17236182602,2,0,1,1,0.274,-1.744,0.548,0.106,-0.363,-0.176,NA,1,NA,0,886,NA
Kenya,1997,1,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,1,13,89
Kenya,1997,1,Civilians,2,10,6.136440843972594,17.16064060093569,NA,0,1,1,-0.603,-0.23,0.723,0.169,-1.614,0.339,4,4,49,1,10,49
Kyrgyzstan,2010,0,Civilians,2,NA,6.779964832822661,15.510740771283258,NA,NA,NA,NA,-0.822,0.449,0.639,0.233,-1.304,-0.472,NA,NA,NA,0,NA,NA
Nepal,2008,0,Civilians,2,0,6.145672466274278,17.106950512445774,NA,0,1,1,-0.807,-1.197,0.866,0.316,-1.49,1.128,6,2,NA,1,0,NA
Romania,1990,1,Civilians,2,NA,7.426968997830723,16.959741928336292,NA,0,NA,1,-1.222,1.306,0.579,0.488,-1.135,1.1,5,4,NA,0,NA,NA
Romania,1990,1,Civilians,2,NA,7.426968997830723,16.959741928336292,NA,0,NA,1,-1.222,1.306,0.579,0.488,-1.135,1.1,5,4,NA,1,NA,NA
Romania,1990,0,Civilians,2,NA,7.426968997830723,16.959741928336292,NA,0,NA,1,-1.222,1.306,0.579,0.488,-1.135,1.1,5,4,NA,1,NA,NA
Romania,1990,0,Civilians,2,NA,7.426968997830723,16.959741928336292,NA,0,NA,1,-1.222,1.306,0.579,0.488,-1.135,1.1,5,4,NA,0,NA,NA
Syria,2012,0,Civilians,2,3051,NA,NA,NA,0,1,0,-2.704,-3.789,0.096,0.034,-1.605,-2.945,-9,NA,NA,NA,NA,NA
India,2009,1,Civilians,2,383,7.000001661362311,20.92509599088581,8,0,NA,0,0.231,0.492,0.859,0.806,0.832,0.948,9,0,NA,1,279,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,5,122
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Cambodia,1998,0,Civilians,2,NA,5.588782299055154,16.272452909446738,NA,0,1,1,-1.669,-0.618,0.486,0.358,-1.518,-0.328,2,0,NA,0,NA,NA
Cambodia,1998,1,Civilians,2,NA,5.588782299055154,16.272452909446738,NA,0,1,1,-1.669,-0.618,0.486,0.358,-1.518,-0.328,2,0,NA,0,NA,NA
India,1998,1,Civilians,2,533,6.022259262574722,20.744473923181133,NA,0,0,1,1.446,0.485,0.823,0.866,0.832,0.932,9,0,NA,1,453,NA
India,1999,0,Civilians,2,453,6.088957467123496,20.762967255696086,NA,0,1,1,1.448,0.484,0.823,0.864,0.832,0.932,9,0,NA,1,453,NA
India,1999,1,Civilians,2,453,6.088957467123496,20.762967255696086,NA,0,1,1,1.448,0.484,0.823,0.864,0.832,0.932,9,0,NA,0,453,NA
India,2004,0,Civilians,2,777,6.436318774656077,20.851012037697036,NA,0,NA,0,1.442,0.47,0.816,0.855,0.832,0.746,9,0,NA,1,453,NA
India,2004,1,Civilians,2,777,6.436318774656077,20.851012037697036,NA,0,NA,0,1.442,0.47,0.816,0.855,0.832,0.746,9,0,NA,0,777,NA
India,2009,0,Civilians,2,383,7.000001661362311,20.92509599088581,8,0,NA,0,0.231,0.492,0.859,0.806,0.832,0.948,9,0,NA,1,777,NA
India,2009,1,Civilians,2,383,7.000001661362311,20.92509599088581,8,0,NA,0,0.231,0.492,0.859,0.806,0.832,0.948,9,0,NA,0,383,NA
India,2004,1,Civilians,2,777,6.436318774656077,20.851012037697036,NA,0,NA,0,1.442,0.47,0.816,0.855,0.832,0.746,9,0,NA,1,383,NA
Kyrgyzstan,2010,0,Civilians,2,NA,6.779964832822661,15.510740771283258,NA,NA,NA,NA,-0.822,0.449,0.639,0.233,-1.304,-0.472,NA,NA,NA,0,NA,NA
Bangladesh,2001,0,Civilians,2,14,6.016275545139406,18.695813026182076,NA,0,0,1,0.461,-0.507,0.772,0.531,-1.406,1.646,6,4,NA,0,14,NA
India,2004,1,Civilians,2,777,6.436318774656077,20.851012037697036,NA,0,NA,0,1.442,0.47,0.816,0.855,0.832,0.746,9,0,NA,1,777,NA
Nepal,1994,0,Civilians,2,0,5.228936545512936,16.89717971895069,NA,0,NA,1,-1.866,-2.298,0.727,0.213,-1.571,1.231,5,6,NA,0,0,NA
Bolivia,2008,1,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,0,NA,NA
Thailand,2007,0,Civilians,2,318,8.277587058208342,18.017614067306596,7,1,1,1,-0.324,0.25,0.679,0.011,-0.214,-1.27,-1,2,NA,1,NA,NA
Thailand,2007,1,Civilians,2,318,8.277587058208342,18.017614067306596,7,1,1,1,-0.324,0.25,0.679,0.011,-0.214,-1.27,-1,2,NA,0,318,NA
Indonesia,1997,0,Civilians,2,29,6.9606772367389365,19.1367042887217,NA,0,1,1,-1.661,-0.72,0.102,0.177,-2.701,0.041,-7,0,NA,0,902,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Fiji,1999,1,Civilians,2,NA,7.762915980079974,13.621224106445343,NA,0,0,0,1.394,0.866,0.53,0.735,1.66,0.025,8,7,NA,NA,NA,NA
Ivory Coast,2010,0,Civilians,2,49,NA,NA,NA,NA,NA,NA,-0.713,-0.214,0.721,0.298,-0.357,0.817,NA,NA,28,NA,NA,NA
Bolivia,2008,0,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,1,NA,NA
Thailand,1992,0,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,1,318,NA
Thailand,1992,0,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,0,0,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1992,1,Civilians,2,NA,5.302569412635298,14.993254062100007,NA,1,NA,1,-0.494,-0.085,0.37,0.361,-0.635,0.649,5,6,NA,1,NA,NA
Albania,1992,1,Civilians,2,NA,5.302569412635298,14.993254062100007,NA,1,NA,1,-0.494,-0.085,0.37,0.361,-0.635,0.649,5,6,NA,1,NA,NA
Bangladesh,1996,1,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,1,70,NA
Bangladesh,1996,1,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,1,33,NA
India,1999,1,Civilians,2,453,6.088957467123496,20.762967255696086,NA,0,1,1,1.448,0.484,0.823,0.864,0.832,0.932,9,0,NA,1,777,NA
India,2009,1,Civilians,2,383,7.000001661362311,20.92509599088581,8,0,NA,0,0.231,0.492,0.859,0.806,0.832,0.948,9,0,NA,1,453,NA
Indonesia,1997,1,Civilians,2,29,6.9606772367389365,19.1367042887217,NA,0,1,1,-1.661,-0.72,0.102,0.177,-2.701,0.041,-7,0,NA,0,29,NA
Kyrgyzstan,2010,1,Civilians,2,NA,6.779964832822661,15.510740771283258,NA,NA,NA,NA,-0.822,0.449,0.639,0.233,-1.304,-0.472,NA,NA,NA,0,NA,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Peru,2000,1,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,0,NA,NA
Peru,2000,1,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,1,NA,NA
Peru,2000,1,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,1,NA,NA
Thailand,1992,1,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,0,0,NA
Thailand,1992,1,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,1,0,NA
Nigeria,2011,0,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,0,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,0,112,125
India,2009,1,Civilians,2,383,7.000001661362311,20.92509599088581,8,0,NA,0,0.231,0.492,0.859,0.806,0.832,0.948,9,0,NA,1,383,NA
Bolivia,2008,1,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,0,NA,NA
Syria,2012,0,Civilians,2,3051,NA,NA,NA,0,1,0,-2.704,-3.789,0.096,0.034,-1.605,-2.945,-9,NA,NA,0,3051,NA
Bangladesh,1991,0,Civilians,2,70,5.646796817475771,18.509083797111334,NA,0,0,1,0.461,-0.228,0.666,0.491,-0.964,1.765,6,4,NA,1,14,NA
Bangladesh,1991,1,Civilians,2,70,5.646796817475771,18.509083797111334,NA,0,0,1,0.461,-0.228,0.666,0.491,-0.964,1.765,6,4,NA,0,70,NA
Pakistan,2008,0,Civilians,2,318,6.81863056789652,19.040891331410805,NA,1,1,1,-0.563,-1.126,0.747,0.298,-1.713,1.439,5,0,NA,1,22,NA
Pakistan,2008,1,Civilians,2,318,6.81863056789652,19.040891331410805,NA,1,1,1,-0.563,-1.126,0.747,0.298,-1.713,1.439,5,0,NA,0,318,NA
Nepal,2008,1,Civilians,2,0,6.145672466274278,17.106950512445774,NA,0,1,1,-0.807,-1.197,0.866,0.316,-1.49,1.128,6,2,NA,1,0,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,0,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,0,NA,NA
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,1,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Nepal,2008,0,Civilians,2,0,6.145672466274278,17.106950512445774,NA,0,1,1,-0.807,-1.197,0.866,0.316,-1.49,1.128,6,2,NA,1,0,NA
Cambodia,1998,0,Civilians,2,NA,5.588782299055154,16.272452909446738,NA,0,1,1,-1.669,-0.618,0.486,0.358,-1.518,-0.328,2,0,NA,1,NA,NA
Cambodia,2003,0,Civilians,2,NA,5.897909905113318,16.363995111394566,NA,0,1,1,-0.85,-0.153,0.486,0.272,-1.518,0.031,2,4,NA,0,NA,NA
Bangladesh,1996,1,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Bangladesh,1996,1,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,1,33,NA
Bolivia,2008,1,Civilians,2,NA,NA,NA,NA,0,NA,1,NA,NA,0.959,0.829,-1.341,1.437,8,5,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Thailand,1992,0,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,1,0,NA
Thailand,1992,0,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,0,0,NA
Thailand,1992,1,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,0,0,NA
Thailand,1992,1,Civilians,2,0,7.579376213761486,17.85749142856665,NA,0,0,1,-0.455,-0.037,0.677,0.16,-0.214,-0.613,9,3,NA,1,0,NA
Thailand,2006,0,Civilians,2,328,8.114858513749198,18.009994906521996,NA,0,1,0,NA,NA,0.682,0.079,-0.214,-1.076,-5,1,NA,1,0,NA
Thailand,2006,0,Civilians,2,328,8.114858513749198,18.009994906521996,NA,0,NA,0,NA,NA,0.682,0.079,-0.214,-1.076,-5,1,NA,0,328,NA
Thailand,2006,1,Civilians,2,328,8.114858513749198,18.009994906521996,NA,0,1,0,NA,NA,0.682,0.079,-0.214,-1.076,-5,1,NA,0,328,NA
Thailand,2006,1,Civilians,2,328,8.114858513749198,18.009994906521996,NA,0,NA,0,NA,NA,0.682,0.079,-0.214,-1.076,-5,1,NA,1,328,NA
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Nigeria,2011,1,Civilians,2,112,7.825995421058666,18.92426266533938,7,0,NA,1,-0.749,-0.12,0.868,0.311,-1.603,1.128,4,0,125,1,112,125
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Afghanistan,2010,1,Civilians,2,164,6.31823847865875,17.154466227690925,NA,1,1,1,-0.399,-0.702,0.673,0.193,-1.922,0.985,NA,3,NA,1,152,NA
India,1998,0,Civilians,2,533,6.022259262574722,20.744473923181133,NA,0,0,1,1.446,0.485,0.823,0.866,0.832,0.932,9,0,NA,1,464,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,1,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,0,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Haiti,2006,1,Civilians,2,NA,6.698686893262909,16.041893425848475,NA,1,1,1,-0.517,-1.853,0.482,0.286,-0.94,1.123,5,4,NA,1,NA,NA
Papua New Guinea,1997,1,Civilians,2,NA,6.902940968278824,15.417004802849018,NA,0,0,1,0.887,1.025,0.666,0.393,1.15,1.457,4,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Albania,1991,1,Civilians,2,NA,5.818856643174918,14.999318409362026,NA,0,1,1,-0.745,-0.085,0.339,0.321,-0.292,-0.248,NA,4,NA,1,NA,NA
Iran,2004,0,Civilians,2,NA,NA,NA,NA,1,1,0,-1.115,-1.553,0.475,0.289,-0.591,-0.533,-7,NA,NA,1,1,NA
Iran,2004,0,Civilians,2,NA,NA,NA,NA,1,1,0,-1.115,-1.553,0.475,0.289,-0.591,-0.533,-7,NA,NA,0,NA,NA
Egypt,1999,1,Civilians,2,NA,7.168252177977455,18.062689033456945,NA,NA,0,NA,-1.229,-1.179,0.25,0.113,-0.691,-1.29,-6,3,2,0,NA,39
Serbia,2000,0,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.311,0.217,0.579,0.371,-0.799,1.077,7,NA,NA,1,NA,NA
Serbia,2000,0,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.311,0.217,0.579,0.371,-0.799,1.077,7,NA,NA,0,NA,NA
Venezuela,2000,0,Civilians,2,27,NA,NA,NA,0,NA,1,0.598,0.719,0.609,0.732,-1.611,0.125,7,4,NA,1,31,NA
Venezuela,2000,0,Civilians,2,27,NA,NA,NA,0,NA,1,0.598,0.719,0.609,0.732,-1.611,0.125,7,4,NA,0,27,NA
Nepal,1994,1,Civilians,2,0,5.228936545512936,16.89717971895069,NA,0,NA,1,-1.866,-2.298,0.727,0.213,-1.571,1.231,5,6,NA,1,0,NA
Nigeria,1993,0,Civilians,2,3,5.598523893757614,18.448057215184587,NA,1,1,1,-0.407,-0.959,0.81,0.141,-0.528,-1.058,-7,2,NA,1,112,125
Iran,2000,0,Civilians,2,1,NA,NA,NA,1,1,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,0,NA,NA
Iran,2000,0,Civilians,2,1,NA,NA,NA,1,0,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,0,1,NA
Peru,2001,1,Civilians,2,NA,7.563189907100957,17.111899456755648,NA,0,0,1,0.426,-0.829,0.751,0.728,-0.69,2.403,9,3,NA,1,NA,NA
Peru,2001,1,Civilians,2,NA,7.563189907100957,17.111899456755648,NA,0,0,1,0.426,-0.829,0.751,0.728,-0.69,2.403,9,3,NA,1,NA,NA
Peru,2001,1,Civilians,2,NA,7.563189907100957,17.111899456755648,NA,0,0,1,0.426,-0.829,0.751,0.728,-0.69,2.403,9,3,NA,1,NA,NA
Russia,1991,0,Civilians,2,NA,NA,NA,NA,NA,NA,NA,-0.478,0.143,0.362,0.578,1.489,0.272,0,NA,NA,0,NA,NA
Ukraine,2004,1,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,0,NA,NA
Ukraine,2004,1,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,1,NA,NA
Ukraine,2004,1,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,1,NA,NA
Guyana,2001,1,Civilians,2,NA,6.843001435818585,13.540822364887935,NA,0,1,1,0.421,1.183,0.698,0.675,-0.162,1.34,6,6,NA,1,NA,NA
Kyrgyzstan,2005,0,Civilians,2,NA,6.166577118933976,15.456950886523869,3,NA,NA,NA,-0.983,0.358,0.472,0.178,-1.201,-1.013,3,NA,NA,0,NA,NA
Mexico,1994,1,Civilians,2,3,8.69559433796855,18.29641400444205,NA,0,1,1,-0.164,0.852,0.442,0.533,-0.587,0.8,4,1,NA,1,NA,NA
Mexico,1994,1,Civilians,2,3,8.69559433796855,18.29641400444205,NA,0,1,1,-0.164,0.852,0.442,0.533,-0.587,0.8,4,1,NA,1,3,NA
Iran,2000,0,Civilians,2,1,NA,NA,NA,1,1,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,0,1,NA
Iran,2000,0,Civilians,2,1,NA,NA,NA,1,0,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,0,1,NA
Turkey,2011,0,Civilians,2,NA,9.333271458393552,18.121922274072364,7,0,0,0,0.707,0.87,0.525,0.779,-0.27,0.028,9,2,NA,0,64,NA
Togo,2010,0,Civilians,2,NA,6.257362392779899,15.698306694597054,NA,0,1,1,-0.121,-0.155,0.795,0.289,-1.383,0.902,-2,3,NA,0,NA,NA
Iraq,2010,1,Civilians,2,518,8.396251075542704,17.25800582089462,NA,1,1,1,-0.209,-1.232,0.588,0.431,-0.363,-0.176,3,3,NA,0,886,NA
